                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5383,                 4.1657,                 4.2408,                0.00282,                0.53472,                0.00267,                0.00077,                 3.8156,                 4.0272,                 4.1596,                  5e-05,                  5e-05,                  5e-05
                      2,                 3.6587,                 4.2234,                 4.2416,                0.00299,                0.53472,                0.00311,                0.00089,                 3.8135,                 4.0253,                 4.1592,             0.00011027,             0.00011027,             0.00011027
                      3,                 3.4422,                 4.1627,                 4.2063,                0.00274,                0.52083,                0.00349,                0.00095,                 3.8123,                 4.0186,                 4.1572,             0.00016807,             0.00016807,             0.00016807
                      4,                 3.4377,                 4.0851,                 4.1715,                0.00271,                0.52083,                0.00446,                0.00149,                  3.804,                 4.0046,                 4.1511,             0.00022339,             0.00022339,             0.00022339
                      5,                 3.4227,                 3.9444,                 4.1359,                0.00271,                0.52083,                0.00797,                0.00178,                 3.7861,                 3.9858,                 4.1406,             0.00027624,             0.00027624,             0.00027624
                      6,                 3.4853,                 3.7251,                 4.1014,                0.00275,                0.52083,                0.00433,                0.00128,                 3.7616,                 3.9679,                 4.1269,             0.00032661,             0.00032661,             0.00032661
                      7,                 3.3712,                 3.5683,                 4.0124,                 0.0028,                0.52083,                0.00727,                0.00178,                 3.7335,                 3.9579,                 4.1123,             0.00037451,             0.00037451,             0.00037451
                      8,                 3.4106,                 3.4472,                 3.9032,                0.00279,                0.52083,                0.00731,                0.00198,                  3.697,                 3.9389,                 4.0947,             0.00041993,             0.00041993,             0.00041993
                      9,                 3.3444,                 3.4975,                 3.8753,                0.00273,                0.52083,                0.00532,                0.00282,                  3.686,                 3.9588,                 4.0899,             0.00046288,             0.00046288,             0.00046288
                     10,                 3.3091,                 3.3917,                  3.825,                0.00274,                0.52083,                0.00492,                0.00124,                 3.7068,                 3.9751,                 4.0993,             0.00050335,             0.00050335,             0.00050335
                     11,                 3.1789,                 3.2873,                 3.7417,                0.00288,                0.53472,                 0.0137,                0.00343,                 3.7219,                 3.9661,                 4.1094,             0.00054135,             0.00054135,             0.00054135
                     12,                 3.0998,                 3.1564,                 3.6803,                 0.0029,                0.53472,                0.01756,                0.00462,                 3.7485,                 4.0014,                 4.1264,             0.00057687,             0.00057687,             0.00057687
                     13,                 3.0347,                 3.2292,                 3.6188,                0.00258,                0.50694,                0.01783,                0.00403,                 3.7614,                 3.9775,                 4.1282,             0.00060992,             0.00060992,             0.00060992
                     14,                 3.0118,                 3.1094,                 3.5405,                0.00291,                0.53472,                 0.0106,                0.00204,                 3.8408,                 4.0344,                 4.1805,             0.00064049,             0.00064049,             0.00064049
                     15,                 2.9397,                 3.0274,                 3.4846,                0.00268,                0.52083,                0.01961,                 0.0048,                 3.8483,                 3.9803,                  4.169,             0.00066859,             0.00066859,             0.00066859
                     16,                 2.8655,                 2.9783,                 3.3812,                0.00289,                0.53472,                0.02122,                0.00494,                 3.7843,                 3.8325,                 4.0864,             0.00069421,             0.00069421,             0.00069421
                     17,                 2.7818,                   2.99,                  3.322,                0.00216,                0.52083,                0.06653,                0.01088,                 3.6977,                 3.6139,                 3.9812,             0.00071736,             0.00071736,             0.00071736
                     18,                 2.7441,                 2.8595,                 3.2832,                0.81418,                0.16667,                0.09447,                0.02474,                 3.4978,                 3.2669,                 3.7742,             0.00073803,             0.00073803,             0.00073803
                     19,                  2.758,                 2.8829,                  3.246,                0.84289,                0.11111,                0.15122,                0.05987,                 3.1572,                  3.108,                 3.5911,             0.00075623,             0.00075623,             0.00075623
                     20,                  2.695,                 2.8449,                 3.2171,                0.87836,                0.16667,                0.15868,                0.06253,                 3.1445,                 3.2908,                 3.5802,             0.00077195,             0.00077195,             0.00077195
                     21,                  2.684,                 2.7072,                 3.1153,                0.81945,                0.09722,                0.07569,                0.03868,                 3.0852,                  3.306,                  3.563,               0.000755,               0.000755,               0.000755
                     22,                 2.5994,                 2.6839,                 3.0698,                0.86951,                0.13889,                0.15553,                0.05431,                  3.129,                  3.181,                 3.5169,               0.000755,               0.000755,               0.000755
                     23,                 2.5897,                 2.6564,                 3.0277,                0.86508,                0.16588,                0.11555,                0.04756,                 3.1847,                 3.2476,                   3.64,             0.00073025,             0.00073025,             0.00073025
                     24,                 2.5478,                 2.6789,                 2.9886,                 0.6283,                0.13746,                0.07097,                0.02559,                 3.2633,                 3.5089,                 3.7066,              0.0007055,              0.0007055,              0.0007055
                     25,                  2.564,                 2.6704,                 3.0673,                0.62481,                0.17361,                0.13787,                0.05705,                 2.6548,                 2.9517,                 3.1874,             0.00068075,             0.00068075,             0.00068075
                     26,                 2.4085,                 2.5547,                 2.8777,                0.62172,                0.16667,                0.16146,                0.06758,                 2.7386,                 2.7782,                 3.1341,               0.000656,               0.000656,               0.000656
                     27,                 2.3864,                 2.5904,                 2.8753,                0.63733,                0.18056,                0.21749,                0.06526,                  2.845,                 2.7657,                 3.1727,             0.00063125,             0.00063125,             0.00063125
                     28,                 2.3619,                 2.5257,                 2.8472,                0.89275,                0.13889,                0.20379,                0.07882,                  2.556,                 2.6139,                 3.0142,              0.0006065,              0.0006065,              0.0006065
                     29,                 2.3824,                 2.5112,                 2.8953,                0.59996,                0.23611,                0.13726,                0.04902,                 2.7816,                 3.0107,                 3.2222,             0.00058175,             0.00058175,             0.00058175
                     30,                 2.3921,                 2.4644,                 2.8264,                0.36487,                0.24667,                0.13563,                0.04964,                 2.7345,                 3.0488,                 3.0507,               0.000557,               0.000557,               0.000557
                     31,                  2.248,                 2.4955,                 2.7784,                0.66489,                0.18918,                0.14969,                0.05942,                   2.64,                 2.9507,                 2.9449,             0.00053225,             0.00053225,             0.00053225
                     32,                  2.335,                 2.3723,                 2.7991,                0.48811,                0.23786,                0.22758,                 0.0746,                 2.6519,                 2.6972,                 2.9474,              0.0005075,              0.0005075,              0.0005075
                     33,                  2.297,                 2.3336,                 2.7087,                0.52407,                0.23677,                0.27819,                 0.0704,                 2.4851,                 2.5309,                 2.8762,             0.00048275,             0.00048275,             0.00048275
                     34,                 2.2019,                 2.3347,                 2.7299,                0.63237,                0.26676,                0.32552,                0.10593,                 2.3466,                 2.3389,                 2.7649,               0.000458,               0.000458,               0.000458
                     35,                 2.1944,                 2.2735,                 2.6793,                0.54538,                0.30484,                0.37031,                0.14494,                 2.3461,                 2.0927,                 2.6638,             0.00043325,             0.00043325,             0.00043325
                     36,                  2.213,                 2.3184,                 2.6579,                0.57545,                0.24928,                0.47732,                0.13252,                 2.2395,                 2.1133,                 2.6105,              0.0004085,              0.0004085,              0.0004085
                     37,                 2.0973,                 2.2453,                 2.6102,                0.67736,                0.30651,                0.36072,                0.12944,                 2.3682,                 2.1193,                 2.7406,             0.00038375,             0.00038375,             0.00038375
                     38,                 2.1697,                 2.2475,                 2.5989,                0.55235,                0.25378,                0.28129,                0.11661,                 2.5038,                 2.2345,                 2.8257,               0.000359,               0.000359,               0.000359
                     39,                  2.136,                   2.19,                 2.6089,                0.64124,                0.31736,                0.42388,                0.17678,                 2.2609,                 1.9865,                 2.6462,             0.00033425,             0.00033425,             0.00033425
                     40,                 2.0503,                 2.1416,                 2.5061,                0.74951,                0.32385,                0.44228,                0.21221,                 2.1195,                 1.8777,                 2.5325,              0.0003095,              0.0003095,              0.0003095
                     41,                 2.0422,                 2.6557,                 2.6106,                0.73998,                0.30053,                0.43497,                0.20109,                 2.2143,                 2.0072,                 2.5632,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.9588,                 2.3453,                 2.4768,                0.75555,                0.27914,                0.39196,                0.18775,                 2.2295,                 2.1486,                 2.5748,                0.00026,                0.00026,                0.00026
                     43,                  1.943,                 2.4086,                 2.4803,                0.74972,                0.29957,                0.37114,                0.19252,                 2.1266,                 2.0197,                 2.4618,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.8775,                 2.2613,                 2.4526,                0.67804,                0.35656,                 0.3625,                 0.1908,                 2.0835,                  1.943,                 2.4025,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.8608,                 2.2588,                 2.4672,                 0.7442,                0.40829,                0.40047,                0.20036,                 2.0413,                 1.9443,                 2.3636,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.8728,                 2.2778,                 2.4576,                0.78528,                0.41722,                0.55634,                0.28426,                 2.0192,                 1.9228,                 2.3517,               0.000161,               0.000161,               0.000161
                     47,                 1.8274,                 2.1169,                   2.34,                 0.8428,                0.44145,                0.72031,                0.37271,                 1.9723,                 1.7683,                 2.3104,             0.00013625,             0.00013625,             0.00013625
                     48,                  1.765,                 2.0866,                   2.33,                0.86328,                 0.4203,                0.67388,                0.34433,                 1.9792,                 1.7405,                 2.3065,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.7827,                 2.0431,                 2.3546,                0.90631,                0.41188,                0.67348,                 0.3531,                 1.9752,                 1.7016,                 2.2947,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.8001,                 2.0776,                 2.3517,                0.74213,                0.46025,                0.67524,                0.35373,                 1.9727,                 1.6929,                 2.2829,                6.2e-05,                6.2e-05,                6.2e-05
